measurement_time,measurement_name,value
2019-09-04 13:12:00,Temp_2,30.195
2019-09-04 13:12:00,Temp_1,30.0
2019-09-04 13:24:00,Temp_1,30.0
2019-09-04 13:24:00,Temp_2,30.18
2019-09-04 13:42:00,Temp_1,30.0
2019-09-04 13:42:00,Temp_2,30.045
2019-09-04 13:54:00,Temp_1,30.0
2019-09-04 13:54:00,Temp_2,30.0
2019-09-04 14:12:00,Temp_2,30.105
2019-09-04 14:12:00,Temp_1,30.0
2019-09-04 14:24:00,Temp_2,30.18
2019-09-04 14:24:00,Temp_1,30.0
2019-09-04 14:42:00,Temp_1,30.0
2019-09-04 14:42:00,Temp_2,30.03
2019-09-04 14:54:00,Temp_2,30.105
2019-09-04 14:54:00,Temp_1,30.0
2019-09-04 15:12:00,Temp_1,30.0
2019-09-04 15:12:00,Temp_2,30.105
2019-09-04 15:24:00,Temp_2,30.18
2019-09-04 15:24:00,Temp_1,30.0
2019-09-04 15:42:00,Temp_2,30.045
2019-09-04 15:42:00,Temp_1,30.0
2019-09-04 15:54:00,Temp_2,30.105
2019-09-04 15:54:00,Temp_1,30.0
2019-09-04 16:12:00,Temp_1,30.0
2019-09-04 16:12:00,Temp_2,30.105
2019-09-04 16:24:00,Temp_2,30.105
2019-09-04 16:24:00,Temp_1,30.0
2019-09-04 16:42:00,Temp_1,30.0
2019-09-04 16:42:00,Temp_2,30.105
2019-09-04 16:54:00,Temp_1,30.0
2019-09-04 16:54:00,Temp_2,30.0
2019-09-04 17:12:00,Temp_1,30.0
2019-09-04 17:12:00,Temp_2,30.03
2019-09-04 17:24:00,Temp_1,30.0
2019-09-04 17:24:00,Temp_2,30.105
2019-09-04 17:42:00,Temp_1,30.0
2019-09-04 17:42:00,Temp_2,30.075
2019-09-04 17:54:00,Temp_1,30.0
2019-09-04 17:54:00,Temp_2,30.0
2019-09-04 18:12:00,Temp_2,30.03
2019-09-04 18:12:00,Temp_1,30.0
2019-09-04 18:24:00,Temp_2,30.0
2019-09-04 18:24:00,Temp_1,30.03
2019-09-04 18:42:00,Temp_1,30.0
2019-09-04 18:42:00,Temp_2,30.075
2019-09-04 18:54:00,Temp_2,30.0
2019-09-04 18:54:00,Temp_1,30.0
2019-09-04 19:12:00,Temp_2,30.0
2019-09-04 19:12:00,Temp_1,30.0
2019-09-04 19:24:00,Temp_2,30.0
2019-09-04 19:24:00,Temp_1,30.0
2019-09-04 19:42:00,Temp_2,30.03
2019-09-04 19:42:00,Temp_1,30.0
2019-09-04 19:54:00,Temp_1,30.0
2019-09-04 19:54:00,Temp_2,29.97
2019-09-04 20:12:00,Temp_2,29.895
2019-09-04 20:12:00,Temp_1,30.0
2019-09-04 20:24:00,Temp_2,29.955
2019-09-04 20:24:00,Temp_1,30.0
2019-09-04 20:42:00,Temp_1,30.0
2019-09-04 20:42:00,Temp_2,29.925
2019-09-04 20:54:00,Temp_2,30.075
2019-09-04 20:54:00,Temp_1,30.0
2019-09-04 21:12:00,Temp_1,30.105
2019-09-04 21:12:00,Temp_2,30.0
2019-09-04 21:24:00,Temp_2,30.0
2019-09-04 21:24:00,Temp_1,30.105
2019-09-04 21:42:00,Temp_2,30.03
2019-09-04 21:42:00,Temp_1,30.0
2019-09-04 21:54:00,Temp_1,29.895
2019-09-04 21:54:00,Temp_2,30.0
2019-09-04 22:12:00,Temp_2,30.0
2019-09-04 22:12:00,Temp_1,30.0
2019-09-04 22:24:00,Temp_1,29.925
2019-09-04 22:24:00,Temp_2,30.0
2019-09-04 22:42:00,Temp_1,30.0
2019-09-04 22:42:00,Temp_2,29.895
2019-09-04 22:54:00,Temp_2,30.105
2019-09-04 22:54:00,Temp_1,30.105
2019-09-04 23:12:00,Temp_1,30.0
2019-09-04 23:12:00,Temp_2,29.895
2019-09-04 23:24:00,Temp_2,30.0
2019-09-04 23:24:00,Temp_1,30.0
2019-09-04 23:42:00,Temp_1,30.105
2019-09-04 23:42:00,Temp_2,30.045
2019-09-04 23:54:00,Temp_1,29.97
2019-09-04 23:54:00,Temp_2,30.0
2019-09-05 00:12:00,Temp_1,30.0
2019-09-05 00:12:00,Temp_2,29.895
2019-09-05 00:24:00,Temp_1,30.0
2019-09-05 00:24:00,Temp_2,29.895
2019-09-05 00:42:00,Temp_2,30.0
2019-09-05 00:42:00,Temp_1,30.0
